id,task,framework,constraint,fold,type,result,metric,mode,version,params,training_duration,predict_duration,models_count,seed,mase,wql
car_parts,car_parts,AutoARIMA,4h16c,0,timeseries,-1.1177,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},0.0,145.7,1.0,0,1.1177,1.58904
cif_2016,cif_2016,AutoARIMA,4h16c,0,timeseries,-1.06934,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},0.0,27.0,1.0,0,1.06934,0.0167589
covid_deaths,covid_deaths,AutoARIMA,4h16c,0,timeseries,-6.02892,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},0.0,85.5,1.0,0,6.02892,0.029771
electricity_hourly,electricity_hourly,AutoARIMA,4h16c,0,timeseries,,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},,,,0,,
electricity_weekly,electricity_weekly,AutoARIMA,4h16c,0,timeseries,-3.00921,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},0.0,18.6,1.0,0,3.00921,0.137897
fred_md,fred_md,AutoARIMA,4h16c,0,timeseries,-0.477626,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},0.0,146.3,1.0,0,0.477626,0.0555688
hospital,hospital,AutoARIMA,4h16c,0,timeseries,-0.819971,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},0.0,56.5,1.0,0,0.819971,0.0579392
kdd_cup_2018,kdd_cup_2018,AutoARIMA,4h16c,0,timeseries,,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},,,,0,,
m1_monthly,m1_monthly,AutoARIMA,4h16c,0,timeseries,-1.1523,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},0.0,92.1,1.0,0,1.1523,0.146264
m1_quarterly,m1_quarterly,AutoARIMA,4h16c,0,timeseries,-1.7701,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},0.0,19.6,1.0,0,1.7701,0.0884099
m1_yearly,m1_yearly,AutoARIMA,4h16c,0,timeseries,-3.86986,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},0.0,16.1,1.0,0,3.86986,0.159649
m3_monthly,m3_monthly,AutoARIMA,4h16c,0,timeseries,-0.934188,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},0.0,239.2,1.0,0,0.934188,0.101795
m3_other,m3_other,AutoARIMA,4h16c,0,timeseries,-2.24491,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},0.0,16.4,1.0,0,2.24491,0.0350298
m3_quarterly,m3_quarterly,AutoARIMA,4h16c,0,timeseries,-1.4189,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},0.0,31.8,1.0,0,1.4189,0.0787234
m3_yearly,m3_yearly,AutoARIMA,4h16c,0,timeseries,-3.15852,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},0.0,21.4,1.0,0,3.15852,0.16165
m4_daily,m4_daily,AutoARIMA,4h16c,0,timeseries,-1.15277,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},0.0,1708.5,1.0,0,1.15277,0.0231714
m4_hourly,m4_hourly,AutoARIMA,4h16c,0,timeseries,-1.02889,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},0.0,5093.4,1.0,0,1.02889,0.0359592
m4_monthly,m4_monthly,AutoARIMA,4h16c,0,timeseries,-0.812364,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},0.0,17759.4,1.0,0,0.812364,0.0852414
m4_quarterly,m4_quarterly,AutoARIMA,4h16c,0,timeseries,-1.2759,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},0.0,941.2,1.0,0,1.2759,0.0820614
m4_weekly,m4_weekly,AutoARIMA,4h16c,0,timeseries,-2.35494,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},0.0,37.9,1.0,0,2.35494,0.0500343
m4_yearly,m4_yearly,AutoARIMA,4h16c,0,timeseries,-3.71974,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},0.0,257.5,1.0,0,3.71974,0.130145
nn5_daily,nn5_daily,AutoARIMA,4h16c,0,timeseries,-0.934769,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},0.0,151.2,1.0,0,0.934769,0.168797
nn5_weekly,nn5_weekly,AutoARIMA,4h16c,0,timeseries,-0.997639,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},0.0,15.8,1.0,0,0.997639,0.0901117
pedestrian_counts,pedestrian_counts,AutoARIMA,4h16c,0,timeseries,,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},,,,0,,
tourism_monthly,tourism_monthly,AutoARIMA,4h16c,0,timeseries,-1.58483,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},0.0,614.6,1.0,0,1.58483,0.0951255
tourism_quarterly,tourism_quarterly,AutoARIMA,4h16c,0,timeseries,-1.65526,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},0.0,55.5,1.0,0,1.65526,0.0977268
tourism_yearly,tourism_yearly,AutoARIMA,4h16c,0,timeseries,-4.04424,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},0.0,19.7,1.0,0,4.04424,0.155841
vehicle_trips,vehicle_trips,AutoARIMA,4h16c,0,timeseries,-1.42718,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},0.0,65.2,1.0,0,1.42718,0.0996418
web_traffic_weekly,web_traffic_weekly,AutoARIMA,4h16c,0,timeseries,-1.18908,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},0.0,2540.2,1.0,0,1.18908,0.47466
kdd_cup_2018,kdd_cup_2018,AutoARIMA,4h16c,0,timeseries,,neg_mase,aws,1.5.0,{'model_name': 'AutoARIMA'},,,,0,,
car_parts,car_parts,AutoETS,4h16c,0,timeseries,-1.13314,neg_mase,aws,1.5.0,{'model_name': 'AutoETS'},0.0,34.6,1.0,0,1.13314,1.33773
cif_2016,cif_2016,AutoETS,4h16c,0,timeseries,-0.897635,neg_mase,aws,1.5.0,{'model_name': 'AutoETS'},0.0,31.6,1.0,0,0.897635,0.0388978
covid_deaths,covid_deaths,AutoETS,4h16c,0,timeseries,-5.90722,neg_mase,aws,1.5.0,{'model_name': 'AutoETS'},0.0,29.3,1.0,0,5.90722,0.0458219
electricity_hourly,electricity_hourly,AutoETS,4h16c,0,timeseries,-1.46533,neg_mase,aws,1.5.0,{'model_name': 'AutoETS'},0.0,1295.7,1.0,0,1.46533,0.100358
electricity_weekly,electricity_weekly,AutoETS,4h16c,0,timeseries,-3.07644,neg_mase,aws,1.5.0,{'model_name': 'AutoETS'},0.0,26.8,1.0,0,3.07644,0.143763
fred_md,fred_md,AutoETS,4h16c,0,timeseries,-0.504835,neg_mase,aws,1.5.0,{'model_name': 'AutoETS'},0.0,41.3,1.0,0,0.504835,0.0499986
hospital,hospital,AutoETS,4h16c,0,timeseries,-0.765814,neg_mase,aws,1.5.0,{'model_name': 'AutoETS'},0.0,41.5,1.0,0,0.765814,0.0526472
kdd_cup_2018,kdd_cup_2018,AutoETS,4h16c,0,timeseries,-0.987534,neg_mase,aws,1.5.0,{'model_name': 'AutoETS'},0.0,980.9,1.0,0,0.987534,0.54971
m1_monthly,m1_monthly,AutoETS,4h16c,0,timeseries,-1.08258,neg_mase,aws,1.5.0,{'model_name': 'AutoETS'},0.0,49.5,1.0,0,1.08258,0.163022
